N,P,K,temperature,humidity,ph,rainfall,label
144,13,89,23.5,54,7.3,185,Sugarcane
101,78,96,37.3,48,8.0,142,Cotton
86,30,85,26.3,33,7.1,177,Millet
103,55,15,23.6,39,8.0,162,Barley
113,20,66,15.4,50,7.3,122,Barley
82,76,10,20.2,42,5.2,165,Sugarcane
67,31,97,39.1,40,5.8,237,Cotton
149,16,12,32.1,88,7.1,122,Sugarcane
112,43,48,30.1,59,6.6,237,Rice
125,71,86,18.4,47,6.2,206,Rice
91,75,68,33.1,54,5.0,266,Cotton
141,14,52,30.7,52,5.9,224,Rice
55,41,74,21.0,34,7.0,236,Millet
50,68,94,38.2,47,7.7,277,Cotton
124,26,22,27.6,81,4.5,226,Sunflower
138,29,53,34.2,46,6.0,240,Rice
72,64,97,32.8,83,7.5,180,Cotton
88,62,69,20.8,68,5.6,148,Sunflower
104,97,26,29.5,33,6.4,163,Sugarcane
75,46,68,18.9,53,6.9,263,Sugarcane
118,47,27,29.3,37,5.3,259,Millet
67,52,25,28.9,67,4.5,155,Wheat
127,100,65,38.6,77,4.9,127,Cotton
114,16,45,16.3,34,6.8,298,Rice
93,80,75,20.9,54,8.2,137,Maize
86,68,57,28.3,59,5.2,184,Maize
63,39,10,37.6,86,7.5,274,Soybean
129,42,65,15.6,80,8.3,186,Soybean
133,23,35,34.5,78,7.8,245,Maize
82,37,36,21.0,55,7.7,236,Sugarcane
123,93,64,38.6,65,5.4,296,Cotton
68,53,55,22.4,38,5.8,282,Wheat
64,36,36,30.1,67,5.6,262,Maize
52,100,56,39.3,64,6.0,240,Sugarcane
76,46,38,30.5,81,5.0,281,Wheat
74,63,25,35.7,52,8.4,261,Wheat
145,22,97,24.2,32,6.9,157,Sunflower
96,29,10,25.8,64,7.8,131,Barley
92,85,73,33.8,54,4.9,286,Cotton
102,16,51,36.9,80,4.5,296,Barley
120,38,83,28.7,67,7.6,121,Cotton
58,45,98,27.6,46,8.2,148,Millet
144,39,70,24.2,31,5.1,287,Millet
115,91,29,19.4,41,4.8,118,Maize
97,26,14,32.8,74,6.6,238,Rice
90,70,36,29.7,81,5.8,208,Millet
52,88,65,20.1,89,7.2,168,Wheat
80,47,57,37.8,89,5.0,189,Cotton
89,13,91,29.0,56,4.8,254,Wheat
90,21,87,23.0,43,5.1,275,Sugarcane
86,99,49,37.7,56,6.0,286,Sugarcane
122,75,77,19.2,32,7.8,236,Sugarcane
142,27,69,34.7,38,7.0,226,Rice
104,26,91,36.3,71,6.2,198,Cotton
65,75,49,15.4,32,7.5,187,Wheat
146,38,68,18.7,46,5.8,137,Groundnut
94,72,33,27.7,39,6.1,125,Millet
95,59,76,35.2,43,7.7,200,Cotton
58,99,16,38.4,40,7.1,285,Sugarcane
77,31,86,31.2,80,5.4,131,Cotton
103,22,83,33.6,37,8.3,203,Cotton
69,19,53,39.0,56,6.3,289,Rice
137,70,39,17.9,35,6.7,261,Rice
138,14,88,18.5,42,4.9,298,Sugarcane
126,45,67,30.4,88,7.3,144,Cotton
96,64,63,22.6,52,5.3,276,Sunflower
118,75,28,28.1,80,6.1,214,Rice
74,94,32,26.0,85,5.3,281,Wheat
73,84,97,39.0,74,5.1,103,Cotton
53,13,41,27.8,38,5.8,138,Millet
118,25,36,31.4,89,8.3,130,Maize
51,87,94,21.3,68,6.3,152,Wheat
137,75,80,30.5,35,7.9,294,Cotton
103,39,96,19.0,56,5.4,115,Rice
99,44,29,38.3,74,6.4,270,Soybean
103,44,11,28.4,53,7.3,164,Sugarcane
112,80,29,15.6,59,6.8,264,Rice
60,56,41,29.0,72,4.8,165,Wheat
109,48,64,31.0,32,5.9,264,Cotton
130,39,85,36.5,47,6.8,251,Rice
96,12,97,37.7,39,5.1,106,Cotton
115,90,66,23.3,36,5.6,170,Sugarcane
102,36,59,15.9,75,7.9,280,Groundnut
106,88,84,23.7,56,6.2,287,Rice
120,81,34,28.4,78,8.4,179,Sugarcane
82,68,37,19.3,31,4.7,164,Wheat
104,84,28,18.3,54,7.8,169,Sugarcane
93,38,49,18.4,48,5.7,149,Sunflower
131,74,24,15.2,60,6.3,147,Cotton
96,92,93,33.9,69,5.7,130,Cotton
144,14,85,23.6,42,6.8,291,Rice
126,81,57,36.9,43,7.2,270,Sugarcane
128,89,89,36.9,85,5.2,105,Cotton
104,14,82,22.9,72,5.6,115,Barley
91,98,41,25.2,76,5.7,178,Sugarcane
70,56,84,33.3,52,6.9,259,Cotton
103,35,53,26.1,32,7.9,145,Millet
127,96,46,24.4,46,7.2,140,Sugarcane
87,82,76,35.8,80,7.6,260,Cotton
99,16,86,25.6,51,7.4,169,Barley
85,11,71,29.1,53,8.5,156,Millet
59,54,99,22.4,51,8.4,222,Wheat
73,99,56,26.7,90,5.9,187,Wheat
81,16,72,28.5,78,6.0,278,Wheat
141,62,36,33.6,86,7.8,268,Maize
69,36,24,24.3,39,6.0,110,Sunflower
99,62,81,29.4,35,7.7,277,Millet
93,70,94,20.8,51,7.5,134,Soybean
62,62,41,33.5,89,8.4,287,Groundnut
68,33,40,18.2,73,6.3,211,Rice
61,90,78,18.8,74,6.4,247,Wheat
143,64,92,19.3,89,8.0,276,Groundnut
123,97,97,17.6,73,8.4,169,Sugarcane
76,69,41,18.7,75,7.3,278,Wheat
66,39,42,37.9,69,8.2,231,Rice
73,23,32,20.2,89,6.6,128,Barley
140,81,27,16.7,34,8.2,254,Sugarcane
71,62,75,38.4,59,5.7,201,Cotton
59,64,85,30.9,62,6.7,198,Cotton
74,48,13,21.8,40,5.0,158,Sugarcane
55,14,69,39.1,44,7.6,161,Cotton
74,63,42,21.0,85,6.3,206,Wheat
100,52,22,22.9,53,7.9,296,Rice
67,92,84,26.6,79,6.4,247,Wheat
143,38,38,21.6,75,7.8,127,Cotton
108,48,51,16.6,85,7.5,224,Millet
87,89,28,19.7,80,5.5,252,Sugarcane
132,29,45,26.7,86,6.9,178,Sunflower
59,32,30,27.1,54,6.3,292,Maize
110,77,29,30.9,60,6.9,206,Rice
62,60,49,20.8,34,5.3,238,Wheat
91,35,27,21.2,60,8.4,238,Rice
77,100,74,37.0,80,4.6,158,Cotton
137,59,35,33.1,31,7.2,201,Millet
80,64,64,15.2,42,5.8,295,Millet
127,77,14,36.6,54,5.1,150,Sunflower
102,58,60,21.6,58,4.9,270,Cotton
67,18,56,39.9,86,5.4,127,Soybean
133,30,35,20.7,65,5.1,191,Millet
74,45,89,24.4,34,4.9,203,Maize
93,28,99,24.5,55,7.9,205,Rice
134,75,96,28.1,66,6.4,200,Sugarcane
148,79,89,23.3,32,5.0,249,Sugarcane
117,63,14,35.3,67,7.0,278,Rice
77,57,57,27.8,39,7.9,255,Wheat
73,44,12,36.5,42,4.6,255,Millet
115,46,47,21.4,39,4.5,234,Maize
147,54,24,23.1,46,6.4,200,Maize
107,33,23,15.6,86,7.5,282,Wheat
108,24,20,19.6,84,5.1,154,Soybean
112,98,97,26.4,69,6.1,146,Maize
101,29,57,34.0,61,8.2,199,Groundnut
80,72,16,31.0,78,6.7,270,Sugarcane
107,59,15,33.7,31,6.4,172,Millet
107,66,81,33.9,44,4.5,189,Cotton
135,34,15,39.4,37,8.0,192,Millet
65,60,13,34.9,70,4.8,163,Sunflower
115,13,58,28.8,62,7.6,284,Maize
138,17,18,32.9,52,5.9,187,Maize
84,83,92,26.5,51,7.0,297,Sugarcane
55,13,28,36.3,90,7.7,182,Barley
80,92,54,19.4,58,8.2,150,Millet
71,98,22,18.2,87,6.0,124,Wheat
75,85,53,18.4,34,4.6,150,Wheat
112,38,11,17.4,82,7.3,211,Rice
101,87,12,21.5,89,7.6,163,Sugarcane
121,15,66,19.1,46,4.7,162,Wheat
136,38,18,24.1,44,8.1,217,Wheat
139,94,37,25.4,63,5.1,170,Sugarcane
95,87,32,25.1,70,7.8,136,Barley
143,32,96,36.0,78,6.3,269,Rice
106,40,93,32.9,89,5.6,205,Cotton
87,60,84,16.7,40,5.5,238,Barley
121,19,100,18.0,42,8.0,191,Cotton
79,71,83,35.1,31,8.4,291,Cotton
52,95,83,17.8,77,5.3,248,Wheat
141,80,92,28.4,39,7.4,299,Sugarcane
74,46,66,20.8,81,6.6,286,Soybean
113,35,73,15.9,75,5.6,131,Sugarcane
129,65,10,38.4,80,8.2,223,Barley
78,94,59,30.0,66,5.4,153,Sugarcane
104,75,28,19.4,56,5.2,212,Sugarcane
121,87,19,21.6,71,5.2,291,Sugarcane
75,59,77,28.1,87,6.5,192,Wheat
88,24,68,23.7,37,5.2,247,Sugarcane
64,53,41,25.2,40,6.5,208,Wheat
104,47,95,37.7,58,4.7,174,Cotton
139,93,83,25.7,40,5.6,117,Millet
117,17,71,23.4,52,5.2,148,Barley
63,38,50,18.6,84,6.1,219,Sunflower
81,46,20,23.6,30,5.1,247,Soybean
93,70,83,25.6,62,4.9,183,Millet
129,46,65,19.9,90,5.8,291,Cotton
109,39,48,15.5,70,7.7,101,Barley
116,66,61,21.9,89,7.4,256,Rice
139,45,31,36.1,82,6.9,121,Rice
133,87,11,30.6,63,8.3,256,Sugarcane
106,68,13,31.8,66,4.8,170,Wheat
126,72,25,25.4,80,5.2,202,Sugarcane
110,88,25,36.2,47,7.1,238,Sugarcane
75,63,49,16.0,63,5.8,291,Wheat
140,20,39,31.3,47,7.1,246,Millet
86,31,27,19.9,43,6.7,157,Cotton
147,75,51,22.1,50,5.7,229,Sugarcane
92,15,96,38.2,58,7.6,285,Cotton
65,95,49,27.8,46,5.3,107,Wheat
108,43,42,35.8,48,8.1,284,Millet
98,93,82,17.9,31,5.7,137,Rice
109,25,78,36.3,62,7.1,215,Cotton
113,70,82,36.7,66,4.9,243,Cotton
69,42,53,30.6,79,4.6,198,Wheat
100,50,26,27.6,64,5.5,279,Barley
132,10,22,26.8,35,8.1,201,Millet
94,47,76,24.7,71,5.9,263,Millet
76,79,29,31.9,88,5.1,291,Sugarcane
87,44,36,19.2,80,7.6,204,Groundnut
104,68,24,32.0,36,6.8,129,Millet
115,11,37,19.1,89,7.7,275,Barley
56,86,53,36.1,84,7.1,210,Sugarcane
129,13,24,16.9,55,5.0,238,Sunflower
106,23,21,32.2,87,6.2,167,Millet
149,37,21,34.5,36,5.6,247,Millet
67,77,87,38.9,75,6.0,129,Cotton
109,46,71,38.1,81,7.2,225,Cotton
79,61,85,33.2,75,7.8,155,Cotton
128,47,34,29.9,57,7.3,183,Rice
132,25,10,20.8,79,4.9,272,Rice
66,86,10,27.5,80,5.5,139,Wheat
72,87,19,21.3,40,6.3,203,Wheat
143,88,34,27.1,40,7.1,128,Millet
75,68,25,15.6,85,8.0,125,Wheat
63,46,14,17.7,52,5.1,203,Sunflower
125,99,90,39.1,68,5.5,139,Cotton
102,41,37,19.2,63,6.4,157,Soybean
126,14,60,35.6,54,5.8,278,Sunflower
85,55,12,17.5,49,7.3,255,Soybean
63,78,60,26.6,74,4.9,108,Wheat
113,68,71,28.4,82,5.6,298,Groundnut
82,40,89,31.3,35,6.4,150,Cotton
78,64,57,22.8,46,6.1,135,Wheat
80,10,72,15.1,31,7.6,201,Millet
115,53,32,30.7,55,8.0,273,Millet
73,96,84,33.6,54,8.3,120,Cotton
60,32,82,37.1,55,8.0,276,Cotton
98,94,30,39.4,51,7.4,194,Sugarcane
144,10,55,20.2,78,8.2,188,Sugarcane
75,88,54,30.2,68,8.2,159,Sugarcane
113,24,99,26.0,60,4.9,230,Barley
62,44,39,25.2,53,6.3,286,Cotton
94,100,78,33.4,47,6.4,191,Cotton
58,34,67,30.0,32,8.3,107,Millet
56,98,97,37.2,82,5.8,255,Cotton
77,10,32,39.3,82,7.7,120,Cotton
135,28,31,18.5,59,7.3,141,Maize
94,62,85,16.7,41,6.8,147,Millet
52,65,69,36.8,80,6.5,206,Cotton
113,41,99,31.7,56,5.1,193,Cotton
67,16,75,25.8,67,8.1,191,Millet
117,91,35,28.3,45,6.7,259,Rice
66,85,54,31.9,73,6.6,276,Sugarcane
135,39,80,15.1,34,6.5,151,Cotton
65,78,12,26.5,82,6.8,196,Wheat
56,84,99,26.1,41,6.9,268,Wheat
148,30,60,15.7,89,6.5,198,Groundnut
110,83,48,35.6,38,5.0,287,Sugarcane
60,73,58,32.3,76,6.4,207,Sugarcane
102,32,21,26.2,38,7.4,104,Millet
100,99,73,18.7,75,6.8,202,Sugarcane
130,77,100,15.4,43,7.7,181,Sugarcane
132,61,85,16.4,88,7.1,261,Sugarcane
145,54,98,19.6,31,6.1,204,Rice
149,82,89,31.0,63,5.8,256,Cotton
112,29,73,33.6,69,7.0,250,Rice
88,62,62,18.6,67,7.8,217,Maize
126,76,57,35.5,80,6.9,215,Rice
91,93,21,32.7,32,6.9,152,Sugarcane
57,52,40,22.9,43,6.8,112,Wheat
148,34,97,38.4,41,5.7,165,Cotton
66,40,100,25.7,81,6.8,283,Sugarcane
66,83,92,16.0,89,8.3,198,Wheat
84,79,11,19.0,57,7.5,210,Sugarcane
51,86,25,19.4,44,7.8,244,Wheat
101,96,74,20.0,49,7.1,116,Maize
62,26,71,32.4,69,4.9,293,Cotton
66,62,46,28.1,35,8.2,281,Wheat
114,63,10,38.0,67,5.8,168,Soybean
106,29,70,30.0,87,5.8,118,Wheat
112,59,82,22.3,77,4.9,124,Groundnut
120,25,42,18.2,55,8.5,216,Sugarcane
105,86,65,27.1,82,5.6,220,Sugarcane
145,44,19,37.4,46,5.4,105,Millet
117,86,90,18.0,39,7.0,110,Cotton
113,17,85,39.0,67,5.4,290,Cotton
89,44,82,17.4,46,5.9,112,Groundnut
110,82,75,18.4,71,6.4,109,Soybean
51,46,67,34.2,90,7.1,126,Cotton
107,77,14,21.9,49,5.1,169,Sugarcane
148,11,84,34.4,38,5.2,106,Cotton
133,13,63,38.3,67,5.8,173,Cotton
97,51,97,28.5,59,4.7,279,Barley
77,82,11,20.3,56,5.2,283,Wheat
76,72,44,23.6,79,5.6,216,Wheat
103,77,61,39.7,86,6.0,260,Rice
118,21,64,35.7,80,8.3,199,Cotton
150,63,17,19.8,44,7.8,180,Sugarcane
116,61,50,36.8,54,6.9,208,Rice
61,92,35,38.2,39,7.0,224,Sugarcane
53,31,55,33.2,90,6.9,265,Groundnut
116,87,34,38.6,35,4.5,122,Millet
83,44,11,34.3,59,6.7,252,Barley
58,24,67,18.4,87,6.4,289,Sunflower
81,43,58,17.9,81,5.4,241,Rice
54,95,98,34.6,37,6.6,106,Cotton
132,46,39,21.1,72,8.3,207,Rice
109,85,95,35.4,30,5.4,300,Cotton
78,80,23,29.1,65,7.9,211,Wheat
68,12,66,22.5,47,5.7,250,Cotton
51,45,22,21.2,79,6.6,107,Soybean
133,19,81,15.7,30,7.9,129,Millet
125,96,72,32.0,73,6.5,247,Rice
121,63,12,15.5,40,7.6,246,Cotton
64,81,28,36.0,75,6.9,109,Sunflower
70,90,51,28.5,84,8.4,231,Wheat
131,81,21,31.9,34,8.2,117,Millet
94,60,70,27.2,89,6.0,166,Groundnut
132,30,70,32.7,30,7.4,149,Cotton
87,83,91,32.3,71,5.3,117,Cotton
70,57,12,16.8,45,7.9,207,Wheat
97,69,38,21.9,77,5.3,216,Barley
81,79,44,23.5,85,7.5,122,Groundnut
85,60,40,32.2,63,7.2,128,Sugarcane
68,40,81,27.4,44,4.5,164,Millet
100,93,29,18.8,56,8.5,243,Sugarcane
130,50,82,37.8,77,5.4,287,Cotton
122,53,87,28.0,59,5.9,128,Sugarcane
80,22,68,34.0,74,7.0,151,Cotton
54,50,22,26.4,36,6.2,285,Millet
132,13,18,34.9,76,5.9,113,Barley
83,30,94,31.2,31,7.6,275,Cotton
130,83,92,34.3,40,8.4,300,Cotton
142,78,58,34.3,49,5.2,269,Sugarcane
142,39,35,37.5,54,8.3,130,Maize
65,45,86,30.3,71,7.7,137,Cotton
56,77,19,23.3,38,6.8,179,Wheat
113,46,64,21.1,44,8.4,268,Rice
134,53,88,25.1,49,5.4,284,Millet
80,53,23,20.3,67,4.9,144,Millet
82,76,20,39.3,50,6.3,280,Sugarcane
106,30,45,30.5,43,4.8,118,Millet
76,17,80,35.5,81,6.3,216,Cotton
113,44,46,25.2,84,7.3,233,Soybean
64,53,12,19.0,72,6.8,234,Wheat
81,58,100,24.0,67,6.4,193,Maize
108,61,49,16.9,63,8.3,261,Maize
78,20,78,32.3,81,4.9,129,Cotton
130,25,79,16.3,72,7.2,203,Sunflower
61,21,13,24.5,45,4.9,128,Millet
95,60,93,20.1,31,7.9,172,Wheat
127,43,13,18.4,63,8.4,163,Millet
148,57,40,28.5,57,8.2,273,Groundnut
110,66,32,29.9,49,4.8,271,Millet
56,73,25,21.4,32,5.1,191,Wheat
133,15,68,21.4,57,5.6,253,Sunflower
146,54,60,16.7,82,8.2,299,Barley
61,13,52,34.2,86,6.2,110,Sugarcane
65,46,38,16.8,65,7.8,275,Sunflower
58,38,68,38.7,30,6.9,154,Cotton
93,52,19,21.3,75,7.2,203,Groundnut
68,51,22,19.0,73,7.5,203,Wheat
73,11,99,36.8,73,5.0,143,Cotton
95,97,56,34.2,88,7.6,248,Sugarcane
147,95,25,23.1,64,4.8,228,Sugarcane
123,19,31,23.3,32,5.4,221,Cotton
72,74,20,29.0,44,5.5,146,Wheat
109,19,45,23.0,72,4.7,125,Sugarcane
97,30,62,33.5,46,6.5,112,Cotton
117,37,25,28.3,48,5.8,144,Millet
77,29,48,17.8,80,5.9,251,Cotton
121,12,15,27.8,63,6.9,196,Maize
59,82,93,38.3,31,7.8,113,Cotton
112,80,48,22.5,60,7.4,241,Sugarcane
108,64,95,37.4,54,8.3,150,Cotton
150,73,79,32.0,62,6.7,176,Cotton
73,14,23,20.3,31,4.5,200,Sunflower
147,59,23,23.7,60,8.1,123,Wheat
130,79,46,31.5,88,6.2,297,Rice
100,60,73,34.6,46,6.6,128,Cotton
95,63,78,29.9,61,7.5,289,Soybean
134,74,16,28.4,86,4.9,139,Rice
76,55,44,26.1,86,8.1,132,Wheat
149,33,41,28.0,52,7.6,110,Maize
113,81,30,25.7,66,8.0,252,Sugarcane
61,90,23,29.0,49,6.1,285,Wheat
54,39,89,22.8,65,4.8,239,Soybean
97,18,93,33.7,51,7.5,278,Cotton
146,83,28,25.2,74,7.2,210,Sugarcane
82,56,92,27.8,31,5.9,252,Millet
99,64,31,15.5,40,7.5,277,Rice
126,12,62,25.5,48,5.9,264,Millet
127,51,85,39.7,30,4.7,134,Cotton
150,40,83,19.2,69,6.9,217,Rice
129,41,75,28.4,30,5.5,284,Millet
102,23,61,33.5,85,5.1,189,Cotton
108,90,95,23.9,70,4.6,278,Sugarcane
72,91,38,29.3,47,6.6,147,Wheat
102,83,42,16.8,82,6.2,145,Sunflower
64,86,96,18.3,35,5.0,172,Wheat
120,99,99,19.8,58,6.6,117,Sugarcane
105,90,38,39.5,75,7.6,263,Sugarcane
123,95,10,16.5,62,6.8,262,Rice
95,23,22,27.2,80,8.5,278,Maize
73,49,46,28.8,56,7.7,211,Soybean
109,14,28,35.7,84,6.7,280,Rice
119,63,27,16.6,68,7.8,288,Wheat
98,60,53,17.2,40,6.0,141,Sunflower
142,45,96,20.6,47,5.9,136,Maize
133,14,46,18.4,82,4.9,202,Barley
97,56,54,24.9,46,5.6,300,Groundnut
69,21,68,29.2,76,5.8,296,Millet
125,71,79,22.0,80,6.8,262,Rice
66,26,28,39.8,50,4.6,111,Wheat
76,55,46,34.2,70,7.4,108,Sunflower
112,75,100,22.7,69,4.8,230,Sugarcane
113,66,52,30.9,35,8.1,232,Millet
133,85,67,17.8,67,4.6,160,Sugarcane
144,56,90,30.0,49,8.4,245,Millet
64,30,74,30.0,67,5.1,161,Maize
72,32,31,37.8,71,7.8,115,Cotton
116,54,89,15.9,60,5.1,211,Wheat
144,52,84,22.6,65,5.9,121,Maize
79,21,90,19.8,90,8.3,147,Sunflower
59,56,92,20.7,47,6.4,120,Wheat
107,64,84,34.5,54,7.6,249,Cotton
66,35,47,36.3,60,8.1,180,Sugarcane
105,68,65,23.7,49,6.8,274,Rice
70,20,61,21.8,48,8.1,137,Millet
66,48,35,34.1,31,6.7,130,Millet
86,28,46,38.2,82,5.9,231,Rice
96,21,45,18.4,65,8.1,191,Millet
106,24,100,27.8,45,5.5,185,Millet
83,21,16,16.6,48,7.2,186,Barley
90,76,90,36.4,40,4.7,196,Cotton
131,100,75,29.0,34,6.4,201,Rice
141,35,82,34.1,69,4.6,298,Cotton
149,55,52,34.2,87,5.0,140,Sugarcane
141,60,92,26.6,42,7.8,127,Millet
101,76,86,23.6,73,5.6,137,Groundnut
52,73,74,22.6,42,6.1,221,Wheat
125,27,76,33.6,53,8.2,140,Cotton
148,62,87,22.8,64,6.6,143,Sugarcane
113,35,65,28.9,87,6.5,228,Rice
117,52,19,16.6,51,8.3,294,Millet
53,90,49,16.7,61,7.0,101,Wheat
148,62,18,39.8,63,8.4,135,Groundnut
55,32,98,15.8,51,6.2,291,Millet
118,90,20,17.0,78,6.3,181,Sugarcane
66,23,11,38.1,78,7.6,141,Sunflower
98,37,54,38.8,36,6.4,234,Millet
93,99,26,16.7,50,5.3,254,Sugarcane
139,52,49,38.8,90,4.6,203,Barley
124,97,80,28.3,30,6.0,224,Rice
115,33,35,37.3,65,6.6,200,Maize
55,77,67,35.2,54,4.9,295,Cotton
150,76,17,35.1,41,6.5,123,Millet
71,22,52,25.5,64,6.9,195,Barley
96,36,81,34.7,88,4.6,253,Cotton
87,76,73,38.3,31,5.3,105,Cotton
61,16,60,37.9,56,7.5,277,Sugarcane
54,69,18,17.5,62,7.1,205,Wheat
67,43,47,37.6,64,6.0,274,Rice
105,37,52,22.4,63,6.4,110,Millet
125,26,57,36.2,37,7.3,232,Millet
149,20,85,20.9,33,7.6,168,Sugarcane
137,67,26,22.1,78,8.5,116,Barley
71,65,83,22.6,69,6.3,101,Wheat
62,36,57,23.5,89,6.2,159,Sunflower
51,86,58,34.3,73,6.3,115,Soybean
101,93,45,15.7,31,4.8,141,Wheat
106,45,50,15.1,67,6.2,144,Cotton
125,100,93,27.2,58,7.0,214,Rice
61,85,45,24.3,57,5.1,244,Wheat
110,56,40,32.2,46,7.2,112,Millet
118,24,29,37.5,59,5.7,151,Rice
82,71,97,39.3,45,8.5,101,Cotton
149,86,71,21.3,75,6.3,161,Sugarcane
81,71,90,33.0,69,5.5,238,Cotton
123,100,77,35.5,73,5.6,139,Cotton
64,45,94,31.3,49,6.2,131,Cotton
68,29,77,24.6,90,6.4,217,Groundnut
74,62,63,30.1,74,7.6,109,Cotton
147,30,87,38.7,50,5.5,228,Cotton
122,48,98,30.9,37,7.1,259,Cotton
88,29,78,25.7,72,7.7,204,Cotton
149,88,14,18.7,75,5.6,203,Sugarcane
108,58,100,33.7,61,5.5,253,Cotton
125,39,37,35.7,70,7.9,232,Groundnut
83,74,59,31.1,63,5.6,251,Sugarcane
99,27,25,17.3,82,4.6,191,Cotton
114,63,58,21.6,59,6.6,127,Maize
136,62,24,32.1,65,6.9,206,Rice
119,52,67,36.1,54,4.6,125,Cotton
89,70,31,32.2,66,6.8,158,Maize
73,98,98,27.5,88,5.3,286,Wheat
70,34,84,19.9,85,5.1,206,Wheat
149,15,55,35.2,77,8.0,270,Maize
71,45,90,26.1,47,6.6,141,Millet
58,61,75,30.6,51,7.7,176,Cotton
143,52,90,17.3,42,8.2,199,Millet
62,72,36,25.1,88,7.3,181,Wheat
88,95,38,36.8,69,8.4,298,Sugarcane
118,33,46,29.8,67,4.9,144,Sugarcane
142,75,78,39.6,39,4.8,264,Cotton
116,50,89,28.9,59,5.2,246,Sugarcane
119,66,64,20.6,61,6.0,201,Rice
132,93,17,31.8,77,4.6,230,Sugarcane
150,79,31,33.3,56,5.4,162,Sugarcane
126,49,73,22.6,68,5.9,269,Sunflower
149,59,40,24.2,40,8.4,299,Sunflower
68,18,69,35.6,65,6.0,273,Cotton
119,26,45,25.7,80,7.9,284,Groundnut
133,49,65,39.4,79,4.7,281,Cotton
105,87,86,35.9,81,4.5,119,Cotton
125,24,61,38.1,80,5.8,175,Cotton
69,81,93,26.7,80,7.5,194,Wheat
149,40,90,34.6,72,7.4,138,Cotton
101,34,18,23.1,85,4.7,231,Soybean
125,85,63,20.0,48,6.1,270,Rice
149,63,25,17.0,69,7.0,157,Wheat
136,71,73,32.3,68,4.6,202,Cotton
95,50,12,17.2,72,6.2,116,Wheat
88,49,82,39.8,90,7.6,124,Cotton
82,92,28,24.2,72,5.6,228,Sugarcane
136,46,59,27.0,30,4.8,122,Millet
120,42,92,34.0,52,6.7,111,Cotton
146,96,39,27.4,40,5.6,172,Sugarcane
102,38,87,26.0,79,7.1,212,Groundnut
124,86,99,23.1,75,4.8,286,Sugarcane
51,40,20,35.9,64,5.4,259,Wheat
62,98,70,32.5,71,4.7,224,Cotton
126,17,53,22.8,31,4.7,241,Millet
66,55,78,30.3,84,5.1,204,Cotton
93,87,15,18.2,51,6.4,218,Sugarcane
139,12,72,38.0,59,7.4,244,Cotton
73,44,36,25.5,34,6.9,243,Millet
91,72,17,19.6,73,4.6,204,Sugarcane
140,42,100,27.6,47,7.0,166,Millet
103,92,32,38.0,46,7.2,292,Sugarcane
99,58,71,19.4,55,7.9,262,Wheat
99,16,42,31.9,85,6.8,166,Maize
116,98,44,19.5,63,6.0,202,Rice
73,25,81,25.9,41,8.1,194,Millet
68,36,94,30.8,46,7.6,226,Cotton
138,70,72,20.2,82,4.8,291,Millet
103,10,74,18.7,57,7.0,227,Rice
150,42,78,15.1,65,6.0,179,Millet
69,76,88,34.6,80,6.0,113,Cotton
104,77,50,34.8,75,7.5,235,Sugarcane
149,30,52,20.9,43,6.9,110,Sugarcane
84,20,42,29.9,50,7.2,195,Wheat
146,90,31,18.8,45,5.7,150,Cotton
117,21,16,36.7,52,7.1,269,Groundnut
100,60,25,25.3,37,7.6,193,Millet
114,98,65,26.0,73,5.6,117,Sugarcane
56,85,59,29.1,71,7.2,149,Wheat
101,60,78,20.0,38,7.6,167,Soybean
106,39,93,26.1,69,5.3,268,Millet
74,22,11,29.9,43,8.3,208,Millet
132,68,83,27.0,52,6.4,155,Maize
124,60,98,21.7,54,8.3,226,Millet
140,73,57,23.4,43,4.5,277,Sugarcane
96,10,72,24.1,53,6.2,151,Sugarcane
115,50,74,32.2,53,5.8,192,Cotton
84,24,46,30.6,56,6.2,141,Wheat
112,69,40,28.8,36,4.6,113,Millet
83,85,33,26.6,48,4.7,194,Sugarcane
68,67,38,26.5,48,7.0,128,Wheat
98,28,75,22.9,84,5.1,176,Barley
118,40,16,21.8,45,7.2,242,Maize
102,39,69,25.2,57,4.5,264,Sugarcane
138,50,69,22.9,85,7.8,190,Wheat
70,91,73,18.5,84,7.3,211,Wheat
100,87,81,25.3,81,5.9,178,Sugarcane
115,82,82,24.7,86,8.5,265,Sugarcane
128,48,26,32.7,68,6.3,129,Soybean
106,42,29,21.5,43,8.1,190,Cotton
106,97,75,38.1,55,8.2,276,Cotton
70,56,66,23.8,60,8.2,211,Wheat
58,91,59,37.1,66,7.4,300,Sugarcane
124,85,36,15.4,62,6.8,194,Sugarcane
131,63,24,22.8,55,8.4,185,Soybean
145,98,55,21.2,44,7.3,264,Sugarcane
105,65,26,17.1,81,6.1,201,Rice
108,43,62,31.5,32,7.2,290,Cotton
148,83,26,36.1,30,6.0,291,Rice
104,15,85,19.4,71,6.8,274,Rice
85,58,31,38.3,43,7.6,282,Millet
115,80,71,26.7,76,6.5,123,Sunflower
108,43,50,29.2,47,5.4,111,Millet
142,87,60,39.3,51,6.6,184,Sugarcane
61,34,17,37.1,33,4.8,158,Millet
123,94,50,38.7,51,4.6,236,Sugarcane
128,99,11,36.2,65,5.4,154,Sugarcane
125,35,33,16.7,90,8.3,297,Sunflower
97,48,75,36.1,76,6.3,293,Cotton
